Inference Count,Inference Time (ms),End-to-End Time (ms),FPS
749,631.245,715.41,1.584170964
750,631.275,715.44,1.584095679
751,631.264,715.429,1.584123283
752,631.232,715.429,1.584203589
753,631.294,715.49,1.584048003
754,631.232,715.49,1.584203589
755,631.263,715.49,1.584125792
756,631.274,715.41,1.584098189
757,631.244,715.441,1.584173473
758,631.263,715.49,1.584125792
759,631.233,715.46,1.584201079
760,631.294,715.49,1.584048003
761,631.294,715.49,1.584048003
762,631.324,715.52,1.58397273
763,631.244,715.471,1.584173473
764,631.275,715.471,1.584095679
765,631.263,715.46,1.584125792
766,631.263,715.49,1.584125792
767,631.263,715.49,1.584125792
768,631.263,715.49,1.584125792
769,631.294,715.49,1.584048003
770,631.275,715.501,1.584095679
771,631.245,715.471,1.584170964
772,631.294,715.52,1.584048003
773,631.264,715.46,1.584123283
774,631.263,715.49,1.584125792
775,631.324,715.52,1.58397273
776,631.293,715.52,1.584050512
777,631.275,715.502,1.584095679
778,631.335,715.532,1.583945132
779,631.324,715.551,1.58397273
780,631.263,715.49,1.584125792
781,631.324,715.459,1.58397273
782,631.294,715.429,1.584048003
783,631.324,715.49,1.58397273
784,631.274,715.44,1.584098189
785,631.305,715.471,1.584020402
786,631.263,715.429,1.584125792
787,631.294,715.46,1.584048003
788,631.354,715.551,1.583897465
789,631.294,715.49,1.584048003
790,631.294,715.429,1.584048003
791,631.275,715.44,1.584095679
792,631.336,715.501,1.583942623
793,631.294,715.459,1.584048003
794,631.325,715.46,1.583970221
795,631.263,715.429,1.584125792
796,631.293,715.459,1.584050512
797,631.293,715.459,1.584050512
798,631.274,715.41,1.584098189
799,631.275,715.441,1.584095679
800,631.294,715.46,1.584048003
801,631.294,715.46,1.584048003
802,631.294,715.49,1.584048003
803,631.294,715.459,1.584048003
804,631.263,715.429,1.584125792
805,631.274,715.44,1.584098189
806,631.275,715.471,1.584095679
807,631.263,715.46,1.584125792
808,631.263,715.429,1.584125792
809,631.263,715.46,1.584125792
810,631.293,715.49,1.584050512
811,631.264,715.429,1.584123283
812,631.275,715.44,1.584095679
813,631.275,715.471,1.584095679
814,631.294,715.459,1.584048003
815,631.263,715.429,1.584125792
816,631.324,715.49,1.58397273
817,631.293,715.459,1.584050512
